id,date,umpire,home,away,home_team_runs,away_team_runs,pitches_called,incorrect_calls,correct_calls,accuracy,consistency,favor_home,total_run_impact
658,2022-08-21,33,20,24,5,3,167,17,150,89.8,90.4,0.11,2.11
659,2022-08-21,70,23,30,2,1,117,3,114,97.4,95.7,0.61,1.07
660,2022-08-21,18,1,26,4,6,163,9,154,94.5,96.3,-0.3,1.52
661,2022-08-21,28,14,15,10,3,166,6,160,96.4,96.4,-0.66,1.42
662,2022-08-21,92,3,4,5,3,155,12,143,92.3,93.5,0.26,1.96
663,2022-08-20,4,21,18,2,8,193,13,180,93.3,90.7,-0.92,2.68
664,2022-08-20,42,21,18,4,1,160,4,156,97.5,95,0.11,0.27
665,2022-08-20,37,19,29,2,5,150,12,138,92,90,0.8,1.44
666,2022-08-20,27,10,13,4,3,128,13,115,89.8,93,-0.25,1.61
667,2022-08-20,44,5,16,6,5,200,20,180,90,91.5,0.4,2.54
668,2022-08-20,65,3,4,3,4,130,14,116,89.2,92.3,-1.36,1.96
669,2022-08-20,49,27,12,5,2,121,5,116,95.9,88.4,0.65,0.73
670,2022-08-20,32,7,9,0,2,124,5,119,96,89.5,-0.38,0.38
671,2022-08-20,24,22,6,1,10,189,10,179,94.7,93.1,0.65,1.01
672,2022-08-20,72,17,28,3,4,178,9,169,94.9,96.1,-0.47,1.17
673,2022-08-20,78,20,24,4,3,158,9,149,94.3,94.9,-0.54,0.86
674,2022-08-20,40,2,11,5,4,179,6,173,96.6,98.3,-0.03,0.81
675,2022-08-20,59,8,25,4,3,133,9,124,93.2,93.2,0.58,0.64
676,2022-08-20,41,1,26,7,16,189,12,177,93.7,89.9,-0.28,1.7
677,2022-08-20,15,23,30,2,1,160,10,150,93.8,96.2,0.8,1.42
678,2022-08-20,26,14,15,7,0,146,6,140,95.9,95.9,-0.79,0.79
679,2022-08-19,13,5,16,8,7,160,8,152,95,92.5,-0.14,0.74
680,2022-08-19,88,3,4,15,10,183,4,179,97.8,93.4,-0.13,0.65
681,2022-08-19,69,22,6,5,4,108,3,105,97.2,93.5,-0.21,0.35
682,2022-08-19,74,21,18,2,7,159,6,153,96.2,92.5,-0.11,0.61
683,2022-08-19,52,19,29,0,4,124,11,113,91.1,91.9,0.46,1.04
684,2022-08-19,47,10,13,0,1,93,7,86,92.5,90.3,0.13,0.55
685,2022-08-19,1,27,12,2,3,153,16,137,89.5,90.2,-0.26,1.66
686,2022-08-19,19,7,9,5,2,130,1,129,99.2,95.4,0.12,0.12
687,2022-08-19,91,2,11,6,2,130,3,127,97.7,94.6,-0.09,0.83
688,2022-08-19,71,17,28,2,1,145,4,141,97.2,96.6,-0.34,0.58
